LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
California,38.5,34.8,42.4,1019,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,34.4,30,39.2,751,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,37.9,33.9,42.1,1072,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,30.1,26.2,34.4,960,"$15,000 - $24,999","$15,000 - $24,999",2
Illinois,29.6,25.7,33.9,646,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,36.1,31.4,41.1,771,"$35,000 - $49,999","$35,000 - $49,999",4
Virginia,37.8,33.8,41.9,1213,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,35.6,32.7,38.6,2318,"$75,000 or greater","$75,000 or greater",6
Iowa,24.9,20.7,29.6,518,"Less than $15,000","Less than $15,000",1
New Hampshire,36,30.2,42.1,561,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,21.5,17,26.7,397,"Less than $15,000","Less than $15,000",1
Illinois,26.4,21.4,32.1,427,"Less than $15,000","Less than $15,000",1
Utah,35.2,32.3,38.1,1676,"$50,000 - $74,999","$50,000 - $74,999",5
New Mexico,34.5,30.4,38.7,1152,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,28.5,24.6,32.7,1388,"Less than $15,000","Less than $15,000",1
Colorado,31.3,27.2,35.8,853,"Less than $15,000","Less than $15,000",1
Maine,39.7,36.1,43.4,1374,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,36.9,32.9,41,1068,"$50,000 - $74,999","$50,000 - $74,999",5
South Dakota,37.4,33.8,41.3,1630,"$75,000 or greater","$75,000 or greater",6
Vermont,30,24.9,35.7,674,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,29.7,26,33.6,1171,"Less than $15,000","Less than $15,000",1
Ohio,27.5,23.3,32.1,1072,"Less than $15,000","Less than $15,000",1
Idaho,31.4,25,38.5,482,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,38.5,35.3,41.7,1520,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,35.4,30.9,40,636,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,36,32.9,39.1,1764,"$15,000 - $24,999","$15,000 - $24,999",2
Kansas,36.5,34.3,38.8,2800,"$35,000 - $49,999","$35,000 - $49,999",4
New Hampshire,37.2,32.2,42.4,748,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,38.8,35.8,42,1503,"$75,000 or greater","$75,000 or greater",6
Alabama,38,35,41.1,1516,"$75,000 or greater","$75,000 or greater",6
Rhode Island,34.7,29,40.8,536,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,36.8,34.1,39.6,2615,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,29.6,24.4,35.2,531,"Less than $15,000","Less than $15,000",1
South Dakota,31.1,23.7,39.6,535,"$25,000 - $34,999","$25,000 - $34,999",3
New York,37.1,35.1,39.2,3557,"$75,000 or greater","$75,000 or greater",6
Delaware,31.4,26.8,36.4,689,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,37.6,34.6,40.7,1743,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,35.9,30.3,41.9,727,"$50,000 - $74,999","$50,000 - $74,999",5
Kentucky,30.4,24.8,36.7,615,"Less than $15,000","Less than $15,000",1
California,37.4,33.3,41.7,824,"$35,000 - $49,999","$35,000 - $49,999",4
New Hampshire,38.4,35.3,41.5,1672,"$75,000 or greater","$75,000 or greater",6
Maine,35,30.9,39.4,1243,"$35,000 - $49,999","$35,000 - $49,999",4
Montana,39.7,36.2,43.4,1016,"$50,000 - $74,999","$50,000 - $74,999",5
Texas,36.1,32,40.4,1538,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,34.3,30.4,38.4,1733,"$15,000 - $24,999","$15,000 - $24,999",2
South Carolina,34.9,30.5,39.6,742,"$35,000 - $49,999","$35,000 - $49,999",4
Missouri,29.3,25.4,33.6,953,"$15,000 - $24,999","$15,000 - $24,999",2
Nebraska,39.9,37.7,42.2,4077,"$75,000 or greater","$75,000 or greater",6
South Dakota,42.8,36.3,49.6,916,"$50,000 - $74,999","$50,000 - $74,999",5
New York,36.8,32.3,41.4,1043,"$25,000 - $34,999","$25,000 - $34,999",3
New York,34.6,30.2,39.2,722,"$35,000 - $49,999","$35,000 - $49,999",4
Montana,26.8,21.4,32.8,471,"Less than $15,000","Less than $15,000",1
North Carolina,35.5,29.7,41.8,332,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,23.3,18.6,28.7,573,"Less than $15,000","Less than $15,000",1
Nebraska,37.6,35.5,39.6,3955,"$75,000 or greater","$75,000 or greater",6
Maryland,32.1,28.5,35.9,1512,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,28.3,24.5,32.4,659,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,28.6,24.3,33.3,776,"$25,000 - $34,999","$25,000 - $34,999",3
Ohio,38.6,34.9,42.5,1578,"$50,000 - $74,999","$50,000 - $74,999",5
South Dakota,38,31.9,44.6,836,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,35.7,30.8,41,1002,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,31.7,28.1,35.5,1084,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,38.6,32.1,45.6,435,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,43,39.2,47,1491,"$75,000 or greater","$75,000 or greater",6
West Virginia,34.4,29.7,39.3,621,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,34.5,25.7,44.6,219,"$25,000 - $34,999","$25,000 - $34,999",3
California,37.7,34.2,41.4,1368,"$50,000 - $74,999","$50,000 - $74,999",5
Kansas,28.9,25.4,32.7,921,"Less than $15,000","Less than $15,000",1
Indiana,33,28.6,37.7,729,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,31.6,27.6,35.9,924,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,37.2,33.7,40.9,1445,"$35,000 - $49,999","$35,000 - $49,999",4
Michigan,31,26.5,35.8,669,"Less than $15,000","Less than $15,000",1
Tennessee,30.5,26.1,35.3,722,"$35,000 - $49,999","$35,000 - $49,999",4
Georgia,33.2,29,37.6,891,"Less than $15,000","Less than $15,000",1
Montana,28.6,23,34.8,455,"Less than $15,000","Less than $15,000",1
Massachusetts,35.7,31.3,40.5,677,"$35,000 - $49,999","$35,000 - $49,999",4
Wyoming,38.2,33.1,43.5,658,"$50,000 - $74,999","$50,000 - $74,999",5
Connecticut,32.7,26.8,39.3,426,"Less than $15,000","Less than $15,000",1
Washington,38.5,36.6,40.4,4128,"$75,000 or greater","$75,000 or greater",6
Hawaii,34.2,30.1,38.5,865,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,34.5,26.4,43.6,263,"$35,000 - $49,999","$35,000 - $49,999",4
Kentucky,33.5,27.8,39.6,582,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,31.3,26.7,36.3,812,"Less than $15,000","Less than $15,000",1
Texas,37.3,33.1,41.6,1157,"$50,000 - $74,999","$50,000 - $74,999",5
Nebraska,33.3,30.3,36.3,2103,"$15,000 - $24,999","$15,000 - $24,999",2
New York,28.1,24,32.6,667,"Less than $15,000","Less than $15,000",1
Kansas,28.7,24.1,33.7,593,"Less than $15,000","Less than $15,000",1
Kentucky,37.3,33.8,40.9,1703,"$75,000 or greater","$75,000 or greater",6
Louisiana,32.4,28,37.1,667,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,38.3,34.6,42.1,1167,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,36.5,33.7,39.4,1558,"$75,000 or greater","$75,000 or greater",6
Delaware,34,25.4,43.7,235,"Less than $15,000","Less than $15,000",1
Arizona,33.3,28.5,38.4,1063,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,39,36.3,41.8,2174,"$75,000 or greater","$75,000 or greater",6
Massachusetts,33.3,29.8,37,1937,"Less than $15,000","Less than $15,000",1
Alabama,30.8,25.8,36.3,546,"$25,000 - $34,999","$25,000 - $34,999",3
Michigan,26.9,22.9,31.2,1145,"Less than $15,000","Less than $15,000",1
Maryland,33.6,28.7,38.9,1168,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,36.5,31.4,41.9,1162,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,39.1,35.6,42.8,1775,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,37.1,32.7,41.7,728,"$50,000 - $74,999","$50,000 - $74,999",5
Tennessee,31.9,26.6,37.7,701,"Less than $15,000","Less than $15,000",1
Arkansas,35.8,30,42.2,555,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,26.2,21.6,31.4,446,"Less than $15,000","Less than $15,000",1
Minnesota,34.3,31.7,37.1,1717,"$35,000 - $49,999","$35,000 - $49,999",4
Iowa,36.8,34,39.7,1477,"$50,000 - $74,999","$50,000 - $74,999",5
Louisiana,33.7,30.1,37.3,1111,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,35.7,31.1,40.7,757,"$25,000 - $34,999","$25,000 - $34,999",3
Florida,32,27.4,37,1552,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,30.1,25.6,34.9,1148,"Less than $15,000","Less than $15,000",1
California,35.2,31.5,39.1,1194,"$25,000 - $34,999","$25,000 - $34,999",3
Vermont,34.7,30.4,39.2,921,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,31.4,27.8,35.1,1202,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,32.7,28,37.7,935,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,31,25.5,37,701,"Less than $15,000","Less than $15,000",1
South Carolina,31.2,27.8,34.7,1298,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,34,28.8,39.5,654,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,28.3,23.9,33.2,559,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,38.9,32.6,45.7,1363,"Less than $15,000","Less than $15,000",1
Arizona,39.6,34.2,45.2,802,"$75,000 or greater","$75,000 or greater",6
Illinois,36.1,31.4,41.1,621,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,34.6,31.1,38.2,1228,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,32.6,29.2,36.2,1537,"Less than $15,000","Less than $15,000",1
Pennsylvania,27,23,31.3,998,"Less than $15,000","Less than $15,000",1
Vermont,36.2,30,42.8,677,"$35,000 - $49,999","$35,000 - $49,999",4
Arkansas,32.5,27.9,37.4,828,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,37.1,32,42.6,525,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,37.6,35.4,39.9,3687,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,30.9,25.9,36.4,433,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,31.1,24.1,39.1,304,"Less than $15,000","Less than $15,000",1
Maryland,29.5,24,35.6,1111,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,28,22.3,34.4,435,"$15,000 - $24,999","$15,000 - $24,999",2
Wyoming,38.5,35,42.2,1260,"$75,000 or greater","$75,000 or greater",6
Colorado,33.6,29.9,37.5,904,"$35,000 - $49,999","$35,000 - $49,999",4
Georgia,30.2,24.5,36.6,632,"Less than $15,000","Less than $15,000",1
Kentucky,34.5,29.8,39.5,916,"$50,000 - $74,999","$50,000 - $74,999",5
New York,33.1,29.8,36.6,1726,"$15,000 - $24,999","$15,000 - $24,999",2
California,35.8,31.6,40.3,827,"$25,000 - $34,999","$25,000 - $34,999",3
Rhode Island,35.9,31.6,40.4,844,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,30.1,26.6,33.8,1171,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,28.7,24.1,33.7,604,"Less than $15,000","Less than $15,000",1
Louisiana,33.1,27.3,39.4,350,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,32.6,27.2,38.4,553,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,37.2,33.5,40.9,1693,"$75,000 or greater","$75,000 or greater",6
Missouri,34.8,30.3,39.4,830,"$35,000 - $49,999","$35,000 - $49,999",4
North Carolina,36.3,31.2,41.7,466,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,37.2,32.4,42.3,693,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,39.9,35.2,44.9,756,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,42,37.9,46.1,1273,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,28,23.4,33,520,"Less than $15,000","Less than $15,000",1
Pennsylvania,37.6,34,41.4,1378,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,37.2,33,41.5,927,"$75,000 or greater","$75,000 or greater",6
Virginia,38,35.6,40.5,2668,"$75,000 or greater","$75,000 or greater",6
Tennessee,26.6,21.8,32.1,650,"Less than $15,000","Less than $15,000",1
Idaho,29.9,24.6,35.8,678,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,30.7,27.4,34.4,1600,"$15,000 - $24,999","$15,000 - $24,999",2
Utah,33.4,30.2,36.7,1571,"$15,000 - $24,999","$15,000 - $24,999",2
Nevada,38.6,34.3,43.1,1274,"$75,000 or greater","$75,000 or greater",6
Kentucky,37.4,33.7,41.3,1363,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,34.6,30.4,39.1,729,"$50,000 - $74,999","$50,000 - $74,999",5
Pennsylvania,36.7,33.4,40.1,1506,"$50,000 - $74,999","$50,000 - $74,999",5
South Carolina,29.6,26.2,33.2,1626,"Less than $15,000","Less than $15,000",1
Oklahoma,37.5,33.7,41.4,1012,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,37.3,33.8,40.9,1255,"$75,000 or greater","$75,000 or greater",6
Virginia,28.6,23.6,34.2,509,"Less than $15,000","Less than $15,000",1
Arizona,39,33,45.4,806,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,31.9,28,35.9,1054,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,39.1,33.9,44.5,866,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,34.4,27.6,42,570,"$35,000 - $49,999","$35,000 - $49,999",4
Missouri,29.6,25,34.6,800,"Less than $15,000","Less than $15,000",1
Minnesota,31.7,28.3,35.2,1077,"$25,000 - $34,999","$25,000 - $34,999",3
Montana,41.7,38.9,44.6,1547,"$75,000 or greater","$75,000 or greater",6
Delaware,35.7,32,39.6,1093,"$75,000 or greater","$75,000 or greater",6
Arizona,37.5,33,42.1,1184,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,42,35.7,48.5,518,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,38.4,33.9,43.1,843,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,29.9,25.7,34.5,580,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,33.3,30.2,36.5,1329,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,38.4,33.7,43.4,874,"$25,000 - $34,999","$25,000 - $34,999",3
Virginia,40,34.9,45.3,840,"$50,000 - $74,999","$50,000 - $74,999",5
Pennsylvania,37.2,34.5,39.9,2083,"$75,000 or greater","$75,000 or greater",6
Texas,38.4,31.4,46,911,"$25,000 - $34,999","$25,000 - $34,999",3
Mississippi,37.6,33,42.5,763,"$50,000 - $74,999","$50,000 - $74,999",5
Nevada,37.6,33.6,41.8,1111,"$75,000 or greater","$75,000 or greater",6
Arkansas,35.1,29,41.7,563,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,38,34,42.3,769,"$50,000 - $74,999","$50,000 - $74,999",5
Nevada,40.4,35.7,45.3,818,"$75,000 or greater","$75,000 or greater",6
North Dakota,32.3,27.2,37.8,849,"$15,000 - $24,999","$15,000 - $24,999",2
South Carolina,30.4,25.2,36.2,535,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,38.2,34.1,42.5,1157,"$75,000 or greater","$75,000 or greater",6
New York,34.6,31.1,38.3,1278,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,29.8,25.8,34.1,794,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,43.1,39.6,46.7,3305,"$75,000 or greater","$75,000 or greater",6
New Hampshire,36.2,31.7,41,845,"$15,000 - $24,999","$15,000 - $24,999",2
Wyoming,32.2,26.3,38.6,677,"$15,000 - $24,999","$15,000 - $24,999",2
Kansas,32.4,29.8,35.2,1779,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,31.7,26.5,37.5,690,"Less than $15,000","Less than $15,000",1
Washington,28.3,24,32.9,662,"Less than $15,000","Less than $15,000",1
Indiana,33.7,30,37.5,965,"$35,000 - $49,999","$35,000 - $49,999",4
Massachusetts,32.8,29,36.9,804,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,37.7,32.8,43,462,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,35.9,31.1,41,1037,"$25,000 - $34,999","$25,000 - $34,999",3
North Carolina,31.3,28,34.8,1014,"$15,000 - $24,999","$15,000 - $24,999",2
Oregon,29,23.7,35,338,"Less than $15,000","Less than $15,000",1
Georgia,35.9,31.9,40.2,1123,"$35,000 - $49,999","$35,000 - $49,999",4
Alabama,30.7,26.9,34.8,1041,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,28.8,25.2,32.6,823,"$15,000 - $24,999","$15,000 - $24,999",2
Delaware,34.5,28.2,41.3,420,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,34.3,30,38.7,762,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,37.5,35,40,2517,"$75,000 or greater","$75,000 or greater",6
Arizona,36.4,30,43.2,685,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,36.8,31.8,42.2,725,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,27.6,19.8,37.1,636,"Less than $15,000","Less than $15,000",1
Oklahoma,36,30.6,41.7,687,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,32.6,29.6,35.7,1371,"$35,000 - $49,999","$35,000 - $49,999",4
New Mexico,37.1,33.7,40.6,1369,"$75,000 or greater","$75,000 or greater",6
New York,34.6,30,39.5,647,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,31.5,27.6,35.8,1096,"Less than $15,000","Less than $15,000",1
Indiana,37.6,34.2,41.1,1301,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,34.4,27.4,42.1,307,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,34.6,29.6,40.1,610,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,35.7,32.4,39,1437,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,23.7,19.2,28.8,633,"Less than $15,000","Less than $15,000",1
Oregon,33.4,29,38.2,830,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,27.7,24.5,31.2,998,"$15,000 - $24,999","$15,000 - $24,999",2
Rhode Island,32.8,27.2,38.8,624,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,32.9,29.8,36.2,1096,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,33.2,29.2,37.4,1511,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,32.5,28.7,36.5,2549,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,33.2,22.4,46.1,161,"$25,000 - $34,999","$25,000 - $34,999",3
West Virginia,33.7,30.3,37.4,1103,"$75,000 or greater","$75,000 or greater",6
Connecticut,36.6,30.2,43.6,469,"Less than $15,000","Less than $15,000",1
Arkansas,40.2,33.8,46.9,540,"$25,000 - $34,999","$25,000 - $34,999",3
New York,37.7,35.6,39.9,3877,"$75,000 or greater","$75,000 or greater",6
Wyoming,25.9,17.9,36.1,198,"Less than $15,000","Less than $15,000",1
Georgia,37.3,33,41.9,926,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,33.6,28.9,38.6,704,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,39.3,35.3,43.5,787,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,34.3,29.7,39.2,1058,"$15,000 - $24,999","$15,000 - $24,999",2
Colorado,32.7,29.6,35.9,1182,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,33,29.4,36.9,1552,"$35,000 - $49,999","$35,000 - $49,999",4
Wyoming,29.4,24.1,35.2,566,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,28.2,23.5,33.3,664,"Less than $15,000","Less than $15,000",1
Wisconsin,38.7,34.2,43.4,808,"$75,000 or greater","$75,000 or greater",6
California,36.1,32.9,39.4,1361,"$50,000 - $74,999","$50,000 - $74,999",5
Nebraska,38.4,36.5,40.5,3921,"$75,000 or greater","$75,000 or greater",6
Oregon,34.5,30.1,39.2,664,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,37.8,34.7,41,1611,"$75,000 or greater","$75,000 or greater",6
Minnesota,37,33.4,40.7,2177,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,38.2,32.4,44.2,510,"$35,000 - $49,999","$35,000 - $49,999",4
Wyoming,34.7,30.3,39.4,932,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,38.7,35.2,42.3,1023,"$75,000 or greater","$75,000 or greater",6
New York,35.7,32.1,39.5,1159,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,31.2,25.9,37,430,"Less than $15,000","Less than $15,000",1
Nebraska,39.9,37.3,42.6,3299,"$50,000 - $74,999","$50,000 - $74,999",5
Arizona,30.2,27,33.5,2096,"$15,000 - $24,999","$15,000 - $24,999",2
Wyoming,26.1,18.6,35.3,388,"Less than $15,000","Less than $15,000",1
Connecticut,36.9,32.4,41.6,969,"$50,000 - $74,999","$50,000 - $74,999",5
Utah,32.7,29,36.6,1086,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,38.1,33.3,43.1,921,"$35,000 - $49,999","$35,000 - $49,999",4
Kentucky,34.1,29.4,39.1,951,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,33.3,27.4,39.7,514,"$15,000 - $24,999","$15,000 - $24,999",2
Kansas,35,32.4,37.7,2259,"$25,000 - $34,999","$25,000 - $34,999",3
Colorado,37,32.7,41.6,1134,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,32.5,25.9,39.8,447,"$25,000 - $34,999","$25,000 - $34,999",3
Iowa,38,34.5,41.6,1009,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,36.5,33.6,39.4,2059,"$75,000 or greater","$75,000 or greater",6
Kentucky,36.6,31.7,41.7,851,"$25,000 - $34,999","$25,000 - $34,999",3
New York,37.9,33.3,42.7,756,"$25,000 - $34,999","$25,000 - $34,999",3
Louisiana,41.5,35.5,47.8,561,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,31.7,27.6,36.2,907,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,36.9,32.8,41.2,1169,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,41.6,35.8,47.6,524,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,38.1,33.2,43.2,770,"$35,000 - $49,999","$35,000 - $49,999",4
Idaho,35.9,31.4,40.8,904,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,41,34.6,47.6,545,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,45.2,41.5,48.9,1424,"$75,000 or greater","$75,000 or greater",6
Texas,36.5,31.7,41.6,913,"$25,000 - $34,999","$25,000 - $34,999",3
Utah,37.5,33.8,41.3,1124,"$25,000 - $34,999","$25,000 - $34,999",3
Montana,41,36.1,46.1,799,"$35,000 - $49,999","$35,000 - $49,999",4
North Dakota,33.8,29.1,38.7,645,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,25.5,20.8,30.9,523,"Less than $15,000","Less than $15,000",1
Alabama,36.7,32.8,40.8,1029,"$75,000 or greater","$75,000 or greater",6
Oregon,33.8,29.3,38.6,712,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,33.5,28.1,39.3,517,"$25,000 - $34,999","$25,000 - $34,999",3
Michigan,36.3,32.9,39.9,1384,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,38.2,32.7,44,983,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,34.8,29.6,40.3,691,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,38.5,34.2,43,628,"$50,000 - $74,999","$50,000 - $74,999",5
Florida,36.5,32.5,40.8,1285,"$25,000 - $34,999","$25,000 - $34,999",3
West Virginia,38,33.7,42.5,663,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,39.5,35.1,44.1,999,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,37.1,31.3,43.2,725,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,38.8,36,41.7,1744,"$75,000 or greater","$75,000 or greater",6
Tennessee,36.4,31.2,41.9,658,"$35,000 - $49,999","$35,000 - $49,999",4
New York,36.8,30.5,43.6,501,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,35.6,30.3,41.2,848,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,36.7,32.1,41.5,1072,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,36.8,32,41.9,631,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,34.5,30.8,38.4,1170,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,31.4,27.3,35.9,609,"Less than $15,000","Less than $15,000",1
South Carolina,29.4,26.2,32.8,1761,"Less than $15,000","Less than $15,000",1
Missouri,39.1,35.1,43.3,999,"$75,000 or greater","$75,000 or greater",6
Connecticut,35.8,31.3,40.6,791,"$15,000 - $24,999","$15,000 - $24,999",2
Arizona,36.9,32.5,41.5,1040,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,28.7,23.4,34.5,931,"Less than $15,000","Less than $15,000",1
Arizona,36.6,32,41.5,1204,"$15,000 - $24,999","$15,000 - $24,999",2
Oklahoma,37,32.8,41.5,889,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,28,24.4,31.8,1148,"Less than $15,000","Less than $15,000",1
Connecticut,35.4,29.9,41.3,533,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,33.6,27,40.8,445,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,35.6,32.7,38.7,1678,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,33.7,30.6,37,1748,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,35.5,31.6,39.5,1358,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,33.8,29.8,38.1,858,"$25,000 - $34,999","$25,000 - $34,999",3
Louisiana,40.6,36,45.4,932,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,29.6,25,34.7,1037,"Less than $15,000","Less than $15,000",1
Kansas,39.2,37,41.5,2771,"$75,000 or greater","$75,000 or greater",6
New Hampshire,39.5,36.6,42.4,1979,"$75,000 or greater","$75,000 or greater",6
West Virginia,40.8,36.5,45.3,681,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,38.4,34.9,42,1621,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,35.9,32.9,39,1515,"$75,000 or greater","$75,000 or greater",6
Georgia,38.8,33.4,44.4,536,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,39.1,37,41.3,3323,"$75,000 or greater","$75,000 or greater",6
California,37.6,35.6,39.7,3750,"$75,000 or greater","$75,000 or greater",6
Minnesota,39.3,36.6,42,4060,"$75,000 or greater","$75,000 or greater",6
North Carolina,39.8,35.5,44.2,1293,"$50,000 - $74,999","$50,000 - $74,999",5
